keyword,ok,volume,cpc,difficulty,intent,trend,error
laptop,True,1200000,1.8,92,commercial,stable,
yoga mat,True,246000,0.95,68,transactional,stable,
air fryer,True,1500000,0.8,85,transactional,rising,
kindle,True,823000,1.1,75,navigational,stable,
protein powder,True,368000,2.5,82,commercial,stable,
wireless earbuds,True,450000,1.4,88,transactional,stable,
phone case,True,673000,0.65,72,transactional,stable,
water bottle,True,550000,1.2,79,transactional,rising,
led lights,True,823000,0.45,65,commercial,stable,
gaming chair,True,301000,2.1,77,commercial,stable,
desk lamp,True,165000,0.9,58,transactional,stable,
bluetooth speaker,True,368000,1.15,81,transactional,stable,
electric toothbrush,True,201000,3.5,74,transactional,stable,
hair dryer,True,165000,1.25,70,transactional,stable,
shampoo,True,301000,1.75,84,informational,stable,
conditioner,True,135000,1.6,78,informational,stable,
running shoes,True,673000,1.9,86,transactional,rising,
backpack,True,550000,0.85,79,transactional,rising,
coffee maker,True,246000,2.2,80,commercial,stable,
instant pot,True,550000,0.7,82,navigational,stable,
robot vacuum,True,201000,1.65,76,commercial,stable,
smart watch,True,450000,1.5,89,commercial,stable,
tablet stand,True,74000,0.9,54,transactional,stable,
usb c hub,True,110000,1.4,62,transactional,stable,
portable charger,True,246000,1.1,68,transactional,stable,
webcam,True,165000,1.8,85,commercial,stable,
mechanical keyboard,True,201000,1.45,72,commercial,rising,
gaming mouse,True,135000,1.1,78,commercial,stable,
monitor stand,True,90500,2.5,64,commercial,stable,
office chair,True,301000,2.1,88,commercial,stable,
standing desk,True,246000,3.8,82,commercial,stable,
mattress topper,True,165000,1.9,79,commercial,rising,
pillow,True,201000,1.2,80,commercial,stable,
duvet cover,True,135000,0.95,71,commercial,stable,
kitchen knife,True,74000,1.75,68,commercial,stable,
cutting board,True,90500,1.3,62,commercial,stable,
cast iron skillet,True,110000,1.6,74,commercial,stable,
blender,True,165000,2.4,81,commercial,stable,
toaster,True,110000,1.5,65,commercial,stable,
microwave,True,201000,1.9,76,commercial,stable,
air purifier,True,301000,4.5,84,commercial,rising,
humidifier,True,246000,2.2,79,commercial,rising,
dehumidifier,True,201000,3.1,77,commercial,stable,
space heater,True,165000,1.8,72,commercial,rising,
fan,True,201000,0.8,70,commercial,stable,
extension cord,True,74000,0.9,58,transactional,stable,
power strip,True,60500,1.1,61,transactional,stable,
surge protector,True,90500,1.4,64,transactional,stable,
hdmi cable,True,165000,1.2,67,transactional,stable,
ethernet cable,True,135000,0.85,59,transactional,stable,
wifi router,True,201000,1.5,85,commercial,stable,
mesh wifi,True,110000,2.1,78,commercial,rising,
security camera,True,301000,2.5,90,transactional,stable,
doorbell camera,True,246000,3,88,transactional,stable,
smart bulb,True,74000,1.2,65,commercial,stable,
smart plug,True,90500,1.4,62,commercial,stable,
thermostat,True,165000,2.2,82,commercial,stable,
pet bed,True,135000,0.9,75,transactional,stable,
dog leash,True,60500,1.1,58,transactional,stable,
cat litter,True,110000,1.5,70,transactional,stable,
bird feeder,True,165000,0.8,60,informational,stable,
camping tent,True,135000,1.6,72,commercial,stable,
sleeping bag,True,110000,1.2,65,commercial,stable,
hiking backpack,True,90500,1.8,68,commercial,stable,
fishing rod,True,110000,1.4,74,commercial,stable,
bicycle pump,True,49500,1.1,52,transactional,stable,
bike lock,True,74000,1.3,55,transactional,stable,
car phone mount,True,110000,1.9,65,transactional,stable,
dash cam,True,246000,2.2,80,commercial,rising,
tire inflator,True,165000,1.5,68,transactional,stable,
jump starter,True,135000,2.4,75,transactional,stable,
