keyword,ok,searchVolume,competition,ppcBidLow,ppcBidHigh,error
laptop,True,89,Hard,1.34,1.92,
yoga mat,True,83,Hard,0.94,1.47,
air fryer,True,61,Hard,0.47,1.19,
kindle,True,61,Hard,0.79,1.6,
protein powder,True,59,Medium,1,1.96,
wireless earbuds,True,75,Hard,0.91,1.76,
phone case,True,89,Hard,1.4,1.86,
water bottle,True,64,Hard,0.85,1.63,
led lights,True,75,Hard,1.12,1.7,
gaming chair,True,83,Hard,1.28,1.79,
desk lamp,True,78,Hard,1.18,1.73,
bluetooth speaker,True,79,Hard,1.06,1.74,
electric toothbrush,True,53,Medium,0.69,1.45,
hair dryer,True,77,Hard,1.1,1.78,
shampoo,True,67,Hard,0.91,1.67,
conditioner,True,74,Hard,1.1,1.69,
running shoes,True,85,Hard,1.32,1.81,
backpack,True,71,Hard,0.99,1.71,
coffee maker,True,74,Hard,1.1,1.69,
instant pot,True,60,Hard,0.46,1.18,
robot vacuum,True,57,Medium,0.77,1.49,
smart watch,True,74,Hard,1.1,1.69,
tablet stand,True,61,Medium,0.9,1.49,
usb c hub,True,86,Hard,1.25,1.74,
portable charger,True,91,Hard,1.28,1.85,
webcam,True,59,Medium,0.81,1.52,
mechanical keyboard,True,75,Hard,0.98,1.69,
gaming mouse,True,72,Hard,0.92,1.66,
monitor stand,True,89,Hard,1.25,1.83,
office chair,True,92,Hard,0.94,1.3,
standing desk,True,70,Hard,1.03,1.64,
mattress topper,True,85,Hard,1.32,1.82,
pillow,True,53,Hard,0.37,1.14,
duvet cover,True,78,Hard,1.18,1.74,
kitchen knife,True,62,Hard,0.54,1.14,
cutting board,True,68,Hard,0.99,1.62,
cast iron skillet,True,58,Medium,0.79,1.51,
blender,True,66,Hard,0.54,1.22,
toaster,True,63,Hard,0.83,1.62,
microwave,True,74,Hard,1.05,1.75,
air purifier,True,53,Medium,0.69,1.45,
humidifier,True,79,Hard,1.2,1.75,
dehumidifier,True,59,Medium,0.81,1.52,
space heater,True,68,Hard,0.99,1.62,
fan,True,60,Hard,0.77,1.59,
extension cord,True,83,Hard,1.28,1.79,
power strip,True,60,Hard,0.83,1.53,
surge protector,True,68,Hard,0.99,1.62,
hdmi cable,True,59,Medium,0.81,1.52,
ethernet cable,True,82,Hard,1.26,1.78,
wifi router,True,80,Hard,1.07,1.75,
mesh wifi,True,73,Hard,1.08,1.68,
security camera,True,58,Medium,0.66,1.53,
doorbell camera,True,79,Hard,1.06,1.73,
smart bulb,True,78,Hard,1.18,1.74,
smart plug,True,55,Medium,0.73,1.47,
thermostat,True,84,Hard,1.3,1.8,
pet bed,True,59,Medium,0.59,1.31,
dog leash,True,84,Hard,0.97,1.48,
cat litter,True,79,Hard,0.89,1.45,
bird feeder,True,88,Hard,1.38,1.85,
camping tent,True,63,Hard,0.63,1.32,
sleeping bag,True,68,Hard,0.99,1.62,
hiking backpack,True,82,Hard,0.93,1.46,
fishing rod,True,84,Hard,1.24,1.86,
bicycle pump,True,72,Hard,1.06,1.67,
bike lock,True,92,Hard,1.08,1.53,
car phone mount,True,68,Hard,0.78,1.45,
dash cam,True,89,Hard,1.4,1.86,
tire inflator,True,59,Medium,0.63,1.38,
jump starter,True,86,Hard,1.34,1.83,
tool set,True,72,Hard,0.63,1.07,
drill,True,81,Hard,0.69,1.17,
screwdriver set,True,83,Hard,1.28,1.79,
measuring tape,True,90,Hard,0.83,1.19,
paint roller,True,68,Hard,0.99,1.62,
garden hose,True,84,Hard,1.3,1.8,
lawn mower,True,65,Hard,0.93,1.59,
plant pot,True,58,Medium,0.49,1.12,
fertilizer,True,88,Hard,1.38,1.85,
sunscreen,True,70,Hard,0.88,1.57,
moisturizer,True,75,Hard,0.97,1.61,
face wash,True,67,Hard,0.83,1.54,
body lotion,True,83,Hard,1.1,1.68,
deodorant,True,80,Hard,1.16,1.82,
razor,True,84,Hard,1.24,1.86,
nail clipper,True,72,Hard,1.07,1.67,
toothbrush,True,68,Hard,0.93,1.68,
toothpaste,True,66,Hard,0.89,1.66,
floss,True,66,Hard,0.95,1.6,
vitamins,True,78,Hard,1.36,2.27,
protein bar,True,83,Hard,1.54,2.27,
granola,True,57,Medium,0.77,1.49,
olive oil,True,76,Hard,1.09,1.77,
rice cooker,True,64,Hard,0.91,1.58,
slow cooker,True,70,Hard,1.03,1.64,
waffle maker,True,72,Hard,1.07,1.67,
ice cream maker,True,64,Hard,0.78,1.52,
juicer,True,58,Medium,0.79,1.51,
food processor,True,69,Hard,1.01,1.63,
hand mixer,True,79,Hard,1.2,1.75,
