keyword,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
laptop,True,673000,1.8,HIGH,,550000,550000,550000,673000,1000000,1220000,823000,823000,450000,450000,450000,450000
yoga mat,True,110000,1.27,HIGH,,110000,110000,110000,90500,110000,135000,135000,90500,90500,90500,90500,90500
air fryer,True,550000,0.78,HIGH,,450000,450000,450000,450000,550000,673000,673000,550000,550000,550000,550000,550000
kindle,True,673000,1.49,MEDIUM,,550000,550000,673000,673000,823000,1000000,823000,673000,673000,550000,550000,673000
protein powder,True,301000,1.66,HIGH,,246000,246000,246000,368000,201000,201000,301000,246000,301000,301000,673000,450000
wireless earbuds,True,201000,2.02,HIGH,,165000,201000,246000,201000,301000,301000,135000,110000,135000,165000,135000,74000
phone case,True,246000,1.84,HIGH,,246000,246000,246000,246000,368000,368000,246000,201000,201000,201000,201000,201000
water bottle,True,301000,0.99,HIGH,,301000,301000,301000,246000,301000,301000,246000,246000,246000,246000,246000,246000
led lights,True,165000,1.13,HIGH,,165000,165000,165000,201000,246000,246000,165000,135000,165000,135000,165000,135000
gaming chair,True,301000,1.99,HIGH,,246000,246000,201000,246000,450000,673000,246000,246000,246000,201000,201000,201000
desk lamp,True,49500,1.24,HIGH,,49500,60500,49500,49500,60500,60500,60500,40500,40500,40500,40500,40500
bluetooth speaker,True,135000,1.3,HIGH,,165000,135000,135000,135000,165000,246000,110000,110000,110000,110000,135000,135000
electric toothbrush,True,135000,2.33,HIGH,,135000,135000,135000,165000,201000,201000,135000,110000,135000,135000,110000,90500
hair dryer,True,74000,1.5,HIGH,,74000,74000,74000,74000,135000,135000,90500,74000,74000,74000,60500,60500
shampoo,True,135000,1.41,HIGH,,110000,110000,110000,135000,135000,135000,135000,110000,135000,135000,135000,110000
conditioner,True,33100,1.02,HIGH,,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500
running shoes,True,368000,1.08,HIGH,,550000,550000,550000,368000,301000,246000,246000,246000,301000,246000,246000,201000
backpack,True,450000,0.75,HIGH,,1000000,1000000,368000,368000,368000,368000,368000,301000,301000,301000,368000,368000
coffee maker,True,201000,0.84,HIGH,,165000,165000,165000,201000,301000,301000,201000,165000,201000,135000,135000,135000
instant pot,True,246000,0.48,HIGH,,246000,246000,246000,246000,368000,368000,301000,246000,246000,201000,246000,201000
robot vacuum,True,135000,2.19,HIGH,,135000,135000,135000,110000,201000,165000,110000,110000,110000,110000,110000,110000
smart watch,True,90500,1.74,HIGH,,110000,110000,90500,90500,110000,135000,90500,74000,90500,74000,90500,90500
tablet stand,True,6600,0.8,HIGH,,6600,6600,9900,6600,6600,8100,6600,6600,6600,6600,5400,5400
usb c hub,True,14800,0.68,HIGH,,14800,18100,18100,18100,14800,18100,22200,14800,14800,14800,14800,14800
portable charger,True,110000,0.68,HIGH,,110000,110000,90500,110000,165000,135000,135000,90500,90500,90500,110000,135000
webcam,True,135000,1.27,MEDIUM,,90500,135000,135000,135000,165000,201000,165000,135000,135000,110000,110000,90500
mechanical keyboard,True,90500,0.96,HIGH,,74000,135000,135000,135000,110000,90500,90500,90500,90500,74000,74000,74000
gaming mouse,True,60500,0.85,HIGH,,49500,60500,49500,49500,74000,90500,60500,60500,60500,49500,40500,40500
monitor stand,True,33100,1.26,HIGH,,40500,40500,33100,33100,33100,40500,33100,33100,27100,27100,27100,27100
office chair,True,201000,3.74,HIGH,,201000,246000,201000,201000,246000,246000,246000,201000,201000,165000,165000,165000
standing desk,True,135000,5.02,HIGH,,135000,165000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
mattress topper,True,110000,2.69,HIGH,,135000,201000,110000,110000,110000,110000,110000,90500,110000,90500,110000,110000
pillow,True,165000,2.51,HIGH,,135000,165000,165000,165000,201000,201000,165000,165000,165000,165000,165000,135000
duvet cover,True,165000,2.38,HIGH,,201000,165000,165000,165000,201000,201000,165000,135000,135000,135000,135000,135000
