keyword,returned,ok,search_volume,cpc,competition,error,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
laptop,True,True,673000,1.8,HIGH,,550000,550000,550000,673000,1000000,1220000,823000,823000,450000,450000,450000,450000
yoga mat,True,True,110000,1.27,HIGH,,110000,110000,110000,90500,110000,135000,135000,90500,90500,90500,90500,90500
air fryer,True,True,550000,0.78,HIGH,,450000,450000,450000,450000,550000,673000,673000,550000,550000,550000,550000,550000
kindle,True,True,673000,1.49,MEDIUM,,550000,550000,673000,673000,823000,1000000,823000,673000,673000,550000,550000,673000
protein powder,True,True,301000,1.66,HIGH,,246000,246000,246000,368000,201000,201000,301000,246000,301000,301000,673000,450000
wireless earbuds,True,True,201000,2.02,HIGH,,165000,201000,246000,201000,301000,301000,135000,110000,135000,165000,135000,74000
phone case,True,True,246000,1.84,HIGH,,246000,246000,246000,246000,368000,368000,246000,201000,201000,201000,201000,201000
water bottle,True,True,301000,0.99,HIGH,,301000,301000,301000,246000,301000,301000,246000,246000,246000,246000,246000,246000
led lights,True,True,165000,1.13,HIGH,,165000,165000,165000,201000,246000,246000,165000,135000,165000,135000,165000,135000
gaming chair,True,True,301000,1.99,HIGH,,246000,246000,201000,246000,450000,673000,246000,246000,246000,201000,201000,201000
desk lamp,True,True,49500,1.24,HIGH,,49500,60500,49500,49500,60500,60500,60500,40500,40500,40500,40500,40500
bluetooth speaker,True,True,135000,1.3,HIGH,,165000,135000,135000,135000,165000,246000,110000,110000,110000,110000,135000,135000
electric toothbrush,True,True,135000,2.33,HIGH,,135000,135000,135000,165000,201000,201000,135000,110000,135000,135000,110000,90500
hair dryer,True,True,74000,1.5,HIGH,,74000,74000,74000,74000,135000,135000,90500,74000,74000,74000,60500,60500
shampoo,True,True,135000,1.41,HIGH,,110000,110000,110000,135000,135000,135000,135000,110000,135000,135000,135000,110000
conditioner,True,True,33100,1.02,HIGH,,33100,33100,33100,33100,33100,33100,33100,33100,40500,40500,40500,40500
running shoes,True,True,368000,1.08,HIGH,,550000,550000,550000,368000,301000,246000,246000,246000,301000,246000,246000,201000
backpack,True,True,450000,0.75,HIGH,,1000000,1000000,368000,368000,368000,368000,368000,301000,301000,301000,368000,368000
coffee maker,True,True,201000,0.84,HIGH,,165000,165000,165000,201000,301000,301000,201000,165000,201000,135000,135000,135000
instant pot,True,True,246000,0.48,HIGH,,246000,246000,246000,246000,368000,368000,301000,246000,246000,201000,246000,201000
robot vacuum,True,True,135000,2.19,HIGH,,135000,135000,135000,110000,201000,165000,110000,110000,110000,110000,110000,110000
smart watch,True,True,90500,1.74,HIGH,,110000,110000,90500,90500,110000,135000,90500,74000,90500,74000,90500,90500
tablet stand,True,True,6600,0.8,HIGH,,6600,6600,9900,6600,6600,8100,6600,6600,6600,6600,5400,5400
usb c hub,True,True,14800,0.68,HIGH,,14800,18100,18100,18100,14800,18100,22200,14800,14800,14800,14800,14800
portable charger,True,True,110000,0.68,HIGH,,110000,110000,90500,110000,165000,135000,135000,90500,90500,90500,110000,135000
webcam,True,True,135000,1.27,MEDIUM,,90500,135000,135000,135000,165000,201000,165000,135000,135000,110000,110000,90500
mechanical keyboard,True,True,90500,0.96,HIGH,,74000,135000,135000,135000,110000,90500,90500,90500,90500,74000,74000,74000
gaming mouse,True,True,60500,0.85,HIGH,,49500,60500,49500,49500,74000,90500,60500,60500,60500,49500,40500,40500
monitor stand,True,True,33100,1.26,HIGH,,40500,40500,33100,33100,33100,40500,33100,33100,27100,27100,27100,27100
office chair,True,True,201000,3.74,HIGH,,201000,246000,201000,201000,246000,246000,246000,201000,201000,165000,165000,165000
standing desk,True,True,135000,5.02,HIGH,,135000,165000,135000,135000,135000,135000,135000,135000,135000,135000,135000,135000
mattress topper,True,True,110000,2.69,HIGH,,135000,201000,110000,110000,110000,110000,110000,90500,110000,90500,110000,110000
pillow,True,True,165000,2.51,HIGH,,135000,165000,165000,165000,201000,201000,165000,165000,165000,165000,165000,135000
duvet cover,True,True,165000,2.38,HIGH,,201000,165000,165000,165000,201000,201000,165000,135000,135000,135000,135000,135000
kitchen knife,True,True,33100,1.94,HIGH,,33100,33100,49500,49500,49500,49500,33100,22200,27100,27100,22200,22200
cutting board,True,True,90500,1.41,HIGH,,74000,74000,90500,90500,110000,135000,90500,74000,74000,74000,74000,60500
cast iron skillet,True,True,165000,1.22,HIGH,,135000,135000,165000,165000,201000,246000,246000,201000,165000,135000,135000,110000
blender,True,True,450000,0.97,MEDIUM,,450000,450000,450000,450000,450000,450000,450000,368000,450000,450000,450000,368000
toaster,True,True,135000,0.67,HIGH,,110000,135000,135000,135000,165000,165000,135000,110000,110000,135000,110000,110000
microwave,True,True,368000,0.68,HIGH,,368000,368000,368000,368000,450000,450000,368000,368000,368000,368000,368000,301000
air purifier,True,True,301000,2.12,HIGH,,246000,301000,246000,246000,368000,301000,301000,301000,301000,246000,246000,246000
humidifier,True,True,301000,1.02,HIGH,,165000,165000,201000,246000,368000,550000,450000,368000,246000,201000,165000,135000
dehumidifier,True,True,246000,1.46,HIGH,,450000,368000,246000,201000,201000,201000,165000,135000,165000,201000,246000,301000
space heater,True,True,135000,0.79,HIGH,,18100,33100,49500,201000,301000,368000,450000,201000,60500,40500,27100,18100
fan,True,True,246000,0.7,HIGH,,368000,301000,246000,246000,201000,201000,201000,201000,301000,301000,301000,368000
extension cord,True,True,110000,0.81,HIGH,,110000,135000,110000,110000,135000,135000,110000,90500,110000,110000,110000,110000
power strip,True,True,49500,0.96,HIGH,,60500,60500,49500,49500,49500,49500,49500,40500,49500,40500,40500,49500
surge protector,True,True,90500,1,HIGH,,135000,135000,110000,90500,90500,110000,110000,74000,90500,90500,90500,110000
hdmi cable,True,True,110000,0.68,HIGH,,110000,110000,110000,110000,110000,135000,110000,90500,110000,90500,90500,110000
ethernet cable,True,True,201000,0.89,HIGH,,201000,246000,201000,201000,201000,201000,201000,165000,165000,165000,165000,165000
wifi router,True,True,135000,6.25,LOW,,74000,74000,60500,60500,60500,60500,60500,49500,74000,110000,550000,246000
mesh wifi,True,True,14800,2.58,HIGH,,18100,18100,18100,14800,14800,14800,14800,9900,12100,9900,9900,9900
security camera,True,True,165000,7.54,MEDIUM,,135000,135000,135000,135000,110000,110000,110000,110000,110000,165000,550000,301000
doorbell camera,True,True,110000,3.4,LOW,,49500,49500,40500,49500,49500,49500,49500,60500,60500,110000,550000,246000
smart bulb,True,True,12100,0.62,HIGH,,12100,12100,9900,12100,14800,14800,12100,9900,9900,8100,8100,8100
smart plug,True,True,22200,0.63,HIGH,,18100,18100,18100,22200,33100,40500,22200,18100,18100,14800,18100,18100
thermostat,True,True,135000,1.03,HIGH,,135000,135000,135000,165000,165000,165000,165000,135000,135000,110000,135000,135000
pet bed,True,True,8100,1.61,HIGH,,6600,8100,8100,8100,12100,12100,9900,8100,8100,8100,8100,6600
dog leash,True,True,40500,1.41,HIGH,,40500,49500,49500,40500,40500,40500,40500,33100,40500,40500,40500,33100
cat litter,True,True,90500,2.27,HIGH,,110000,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500
bird feeder,True,True,60500,0.64,HIGH,,49500,40500,33100,33100,40500,60500,49500,49500,74000,90500,135000,74000
camping tent,True,True,49500,0.39,HIGH,,135000,110000,60500,49500,33100,27100,27100,22200,33100,40500,49500,60500
sleeping bag,True,True,110000,0.59,MEDIUM,,90500,74000,74000,90500,90500,74000,90500,60500,74000,74000,90500,550000
hiking backpack,True,True,40500,0.68,HIGH,,49500,90500,60500,33100,33100,33100,40500,33100,40500,40500,49500,49500
fishing rod,True,True,135000,0.44,HIGH,,165000,165000,135000,135000,110000,110000,90500,90500,135000,165000,201000,165000
bicycle pump,True,True,27100,0.5,HIGH,,33100,33100,27100,27100,22200,22200,18100,14800,22200,27100,27100,33100
bike lock,True,True,40500,0.56,HIGH,,49500,60500,49500,33100,27100,22200,27100,22200,33100,40500,49500,49500
car phone mount,True,True,9900,0.9,HIGH,,14800,14800,14800,9900,12100,14800,9900,9900,8100,8100,8100,8100
dash cam,True,True,90500,1.15,HIGH,,90500,90500,74000,90500,110000,135000,90500,74000,74000,74000,74000,74000
