shop,domain,source_type,status,page,rank,title,brand,is_henkel,price,url
Amazon.nl,amazon.nl,search_paginated,ok,1,1,"Olaplex N°.5 Bond Maintenance™ Hair Strengthening Conditioner, 250 mL | Repairs damage and helps prevent breakage. Hydrates, softens, detangles, and reduces frizz for healthier-looking hair.",Olaplex,False,"€ 19,99",https://www.amazon.nl/Olaplex-N%C2%B0-5-MaintenanceTM-Strengthening-Conditioner/dp/B08TWV3S41/ref=sr_1_1
Amazon.nl,amazon.nl,search_paginated,ok,1,2,"Cantu Sheaboter hydraterende crème conditioner, 400 ml (verpakking kan variëren)",Cantu,False,"€ 7,99",https://www.amazon.nl/Cantu-Sheaboter-hydraterende-conditioner-verpakking/dp/B00NMM8JYM/ref=sr_1_2
Amazon.nl,amazon.nl,search_paginated,ok,1,3,"Garnier Echte schatten Reparerende spoeling, honing, versterkt en voedt beschadigd en breekbaar haar, tegen gespleten haarpunten, conditioner, voedende formule, minder haarbreuk, 1 x 200 ml",Garnier,False,"€ 3,59",https://www.amazon.nl/Garnier-Reparerende-beschadigd-haarpunten-conditioner/dp/B0C8JQ6XWQ/ref=sr_1_3
Amazon.nl,amazon.nl,search_paginated,ok,1,4,"L'Oréal Professionnel, Professionele Herstellende Conditioner, Voor Droog en Beschadigd Haar, Voedt de Haarvezel Intens, Met Tarweproteïne, Absolut Repair",L'Oréal,False,"€ 20,19",https://www.amazon.nl/LOr%C3%A9al-Professionnel-Professionele-Herstellende-Tarweprote%C3%AFne/dp/B0918G7MMH/ref=sr_1_4
Amazon.nl,amazon.nl,search_paginated,ok,1,5,"OGX Marokkaanse Argan Revive olieconditioner, 385 ml",OGX,False,"€ 8,95",https://www.amazon.nl/OGX-Marokkaanse-Argan-Revive-olieconditioner/dp/B06XK7BXQ9/ref=sr_1_5
Amazon.nl,amazon.nl,search_paginated,ok,1,6,"Ogx Anti Breakage Keratin Oil Conditioner, 385 ml",OGX,False,"€ 7,21",https://www.amazon.nl/Ogx-Anti-Breakage-Keratin-Conditioner/dp/B01JGRBJV6/ref=sr_1_6
Amazon.nl,amazon.nl,search_paginated,ok,1,7,Moroccanoil Hydrating Conditioner,Moroccanoil,False,"€ 29,50",https://www.amazon.nl/Moroccanoil-Hydrating-Conditioner-250-ml/dp/B0098QQ88U/ref=sr_1_7
Amazon.nl,amazon.nl,search_paginated,ok,1,8,Wella Professionals Fusion Intense Repair Conditioner – Herstellende conditioner voor beschadigd haar – 200ml,Wella,False,"€ 14,41",https://www.amazon.nl/Wella-Professionals-Fusion-Intense-Conditioner/dp/B09TFYBTKK/ref=sr_1_8
Amazon.nl,amazon.nl,search_paginated,ok,1,9,Revlon Herstellende Conditioner voor Beschadigd Haar 650 ml,,False,"€ 3,50",https://www.amazon.nl/Revlon-Herstellende-Conditioner-voor-Beschadigd/dp/B0BCW2MZKM/ref=sr_1_9
Amazon.nl,amazon.nl,search_paginated,ok,1,10,"Bali Curls Moisturising Conditioner, hydraterende spoeling met sheaboter, kokosolie en ylang-ylang-extract voor de verzorging van natuurlijke krullen, veganistische haarconditioner voor droog haar",,False,"€ 10,62",https://www.amazon.nl/Bali-Curls-ylang-ylang-extract-veganistische-haarconditioner/dp/B0DRDDTQFV/ref=sr_1_10
Amazon.nl,amazon.nl,search_paginated,ok,1,11,"Redken, Voor Gevoelig Geworden Lang Haar, Versterkt het Haar en Voorkomt Haarbreuk, Met Biotine en Casterolie, Extreme Length Conditioner, 300 ML",Redken,False,"€ 20,51",https://www.amazon.nl/Redken-Versterkt-Haarbreuk-Casterolie-Conditioner/dp/B08XZBCC4J/ref=sr_1_11
Amazon.nl,amazon.nl,search_paginated,ok,1,12,Moroccanoil Moisture Repair Conditioner,Moroccanoil,False,"€ 22,77",https://www.amazon.nl/Moroccanoil-Moisture-Repair-Conditioner-250/dp/B002N5MKM6/ref=sr_1_12
Amazon.nl,amazon.nl,search_paginated,ok,1,13,"Garnier Loving Blends Avocado & Shea Boter Conditioner - 6x250ml | Intens voedende conditioner verzorgt zeer droog, pluizig haar met avocado-olie en sheaboter, voordeelverpakking",Loving Blends,False,"€ 18,57",https://www.amazon.nl/Garnier-Loving-Blends-Avocado-Conditioner/dp/B0FRGPNV9J/ref=sr_1_13
Amazon.nl,amazon.nl,search_paginated,ok,1,14,"L'Oréal Paris Elvive Glycolic Gloss Ultimate Conditioner - 150ml | Conditioner voor dof, poreus haar, met glycolic acid voor glanzend haar",L'Oréal,False,"€ 6,99",https://www.amazon.nl/LOr%C3%A9al-Elvive-Glycolic-Ultimate-Conditioner/dp/B0FP28SQJN/ref=sr_1_14
Amazon.nl,amazon.nl,search_paginated,ok,1,15,Shea Moisture Manuka Honey & Mafura Oil intensieve hydraterende conditioner,Shea Moisture,False,"€ 9,93",https://www.amazon.nl/Shea-Moisture-intensieve-hydraterende-conditioner/dp/B07XWWJ1X1/ref=sr_1_15
Amazon.nl,amazon.nl,search_paginated,ok,1,16,"Fanola Nutri Care Restructuring Conditioner, 1000 ml",,False,"€ 15,00",https://www.amazon.nl/Fanola-Nutri-Care-Restructuring-Conditioner/dp/B00CGPKDJU/ref=sr_1_16
Amazon.nl,amazon.nl,search_paginated,ok,1,17,"OGX Vernieuwende conditioner met arganolie uit Marokko 88,7 ml",OGX,False,"€ 3,99",https://www.amazon.nl/OGX-Vernieuwende-conditioner-arganolie-Marokko/dp/B01KYQ9F0U/ref=sr_1_17
Amazon.nl,amazon.nl,search_paginated,ok,1,18,L'Oréal Paris Elvive Bond Repair Conditioner - 150ml | Conditioner voor beschadigd haar,L'Oréal,False,"€ 6,99",https://www.amazon.nl/LOr%C3%A9al-Paris-Elvive-Repair-Conditioner/dp/B0FGWJ2Y1H/ref=sr_1_18
Amazon.nl,amazon.nl,search_paginated,ok,1,19,"Creme of Nature sulfaatvrije conditioner met Arganolie uit Marokko voor een diepgaande versterking van het haar, 354ml",,False,"€ 8,00",https://www.amazon.nl/Creme-Nature-sulfaatvrije-conditioner-versterking/dp/B004YRVCGQ/ref=sr_1_19
Amazon.nl,amazon.nl,search_paginated,ok,1,20,Ogx Nourishing Coconut Milk Conditioner,OGX,False,"€ 9,74",https://www.amazon.nl/Ogx-Nourishing-Coconut-Milk-Conditioner/dp/B000TG850M/ref=sr_1_20
Amazon.nl,amazon.nl,search_paginated,ok,1,21,"John Frieda Frizz Ease Miraculous Recovery Conditioner voor Pluizig Haar - 250 Milliliter - Herstelt Droog, Beschadigd en Pluizig Haar",John Frieda,False,"€ 6,74",https://www.amazon.nl/John-Frieda-Miraculous-Recovery-Conditioner/dp/B074PW39L1/ref=sr_1_21
Amazon.nl,amazon.nl,search_paginated,ok,1,22,"SheaMoisture Strengthen & Restore Leave-In Conditioner voor krullend, voor chemisch behandeld of met warmte gestyled haar Jamaican Black Castor Oil haarverzachter zonder siliconen en sulfaten 431 ml",SheaMoisture,False,"€ 18,50",https://www.amazon.nl/SheaMoisture-Strengthen-Conditioner-behandeld-haarverzachter/dp/B01HOD3ZNO/ref=sr_1_22
Amazon.nl,amazon.nl,search_paginated,ok,1,23,"OGX Conditioner met kokosolie van Coconut Miracle, 385 ml",OGX,False,"€ 8,99",https://www.amazon.nl/OGX-Conditioner-kokosolie-Coconut-Miracle/dp/B07B68SW8Y/ref=sr_1_23
Amazon.nl,amazon.nl,search_paginated,ok,1,24,"L'Oréal Paris Elvital Glycolic Gloss conditioner voor glanzend en dof haar, haarverzorging voor gezond haar en ultieme glans, regeneratie van de haarverzegeling, conditioner met glycolzuur, 150 ml",L'Oréal,False,"€ 6,30",https://www.amazon.nl/Paris-conditioner-haarverzorging-regeneratie-haarverzegeling/dp/B0CPT5WC6C/ref=sr_1_24
