asin,title,price
B0DEMO0001,Riva Beauty Bond Repair Leave-In Treatment 100ml,14.25
B0DEMO0002,Vionne Bond Repair Leave-In Treatment 200ml,16.39
B0DEMO0003,Botanera Bond Repair Leave-In Treatment 150ml,18.88
B0DEMO0004,Botanera Bond Repair Leave-In Treatment 250ml,20.35
B0DEMO0005,Tressano Bond Repair Leave-In Treatment 250ml,15.16
B0DEMO0006,Kuralux Bond Repair Leave-In Treatment 150ml,23.51
B0DEMO0007,Capellio No.8 Bond Intense Repair Mask 250ml,28.74
B0DEMO0008,Maneful No.8 Bond Intense Repair Mask 200ml,23.7
B0DEMO0009,Kuralux No.8 Bond Intense Repair Mask 150ml,29.91
B0DEMO0010,Lumeya Scalp Serum with Niacinamide 100ml,23.61
B0DEMO0011,Nordhaar Scalp Serum with Niacinamide 100ml,22.87
B0DEMO0012,Tressano Scalp Serum with Niacinamide 100ml,21.95
B0DEMO0013,Silkero Scalp Serum with Niacinamide 200ml,27.53
B0DEMO0014,Riva Beauty Rosemary Oil Hair Growth Scalp Treatment 100ml,13.09
B0DEMO0015,Riva Beauty Rosemary Oil Hair Growth Scalp Treatment 200ml,11.56
B0DEMO0016,Nordhaar Rosemary Oil Hair Growth Scalp Treatment 150ml,14.9
B0DEMO0017,Riva Beauty Argan Oil Shampoo Classic 200ml,7.52
B0DEMO0018,Lumeya Argan Oil Shampoo Classic 100ml,9.77
B0DEMO0019,Vionne Argan Oil Shampoo Classic 200ml,9.1
B0DEMO0020,Silkero Argan Oil Shampoo Classic 100ml,8.6
B0DEMO0021,Botanera Argan Oil Shampoo Classic 150ml,8.97
B0DEMO0022,Silkero Volume Shampoo Fresh 250ml,6.2
B0DEMO0023,Lumeya Volume Shampoo Fresh 100ml,8.57
B0DEMO0024,Novellia Volume Shampoo Fresh 150ml,6.77
B0DEMO0025,Herbastra Volume Shampoo Fresh 200ml,7.79
B0DEMO0026,Silkero Hair Mask Kit Repair & Shine 3-Step,24.3
B0DEMO0027,Lumeya Hair Mask Kit Repair & Shine 3-Step,30.27
B0DEMO0028,Herbastra Hair Mask Kit Repair & Shine 3-Step,23.54
B0DEMO0029,Silkero Hair Mask Kit Repair & Shine 3-Step,29.49
B0DEMO0030,Riva Beauty Keratin Smooth Conditioner 100ml,11.22
B0DEMO0031,Novellia Keratin Smooth Conditioner 100ml,9.89
B0DEMO0032,Vionne Keratin Smooth Conditioner 250ml,11.85
B0DEMO0033,Classic Anti-Dandruff Shampoo 500ml,12.99
B0DEMO0034,Daily Moisture Shampoo & Conditioner Set,15.99
B0DEMO0035,Repair & Protect Shampoo 400ml,9.99
B0DEMO0036,ProBond Repair Shampoo Salon Formula 300ml,21.99
