asin,day,rank,reviews_total
B0DEMO0001,0,1712,1
B0DEMO0001,1,1534,2
B0DEMO0001,2,1774,3
B0DEMO0001,3,1688,6
B0DEMO0001,4,1691,8
B0DEMO0001,5,1732,10
B0DEMO0001,6,1743,12
B0DEMO0001,7,1870,13
B0DEMO0001,8,1788,15
B0DEMO0001,9,1703,17
B0DEMO0001,10,1582,19
B0DEMO0001,11,1538,20
B0DEMO0001,12,1691,22
B0DEMO0001,13,1828,24
B0DEMO0001,14,1639,26
B0DEMO0001,15,1607,27
B0DEMO0001,16,1677,29
B0DEMO0001,17,1417,31
B0DEMO0001,18,1538,33
B0DEMO0001,19,1624,35
B0DEMO0001,20,1658,37
B0DEMO0001,21,1500,38
B0DEMO0001,22,1559,40
B0DEMO0001,23,1525,43
B0DEMO0001,24,1573,44
B0DEMO0001,25,1335,46
B0DEMO0001,26,1508,49
B0DEMO0001,27,1260,51
B0DEMO0001,28,1138,54
B0DEMO0001,29,1319,56
B0DEMO0001,30,1269,58
B0DEMO0001,31,1443,59
B0DEMO0001,32,1398,61
B0DEMO0001,33,1185,64
B0DEMO0001,34,1377,66
B0DEMO0001,35,1169,68
B0DEMO0001,36,1239,69
B0DEMO0001,37,1199,72
B0DEMO0001,38,1219,74
B0DEMO0001,39,1268,77
B0DEMO0001,40,1229,80
B0DEMO0001,41,1181,82
B0DEMO0001,42,1189,84
B0DEMO0001,43,1153,87
B0DEMO0001,44,1037,89
B0DEMO0001,45,1012,91
B0DEMO0001,46,1014,95
B0DEMO0001,47,1076,98
B0DEMO0001,48,995,101
B0DEMO0001,49,1202,104
B0DEMO0001,50,917,108
B0DEMO0001,51,880,111
B0DEMO0001,52,1004,113
B0DEMO0001,53,1038,116
B0DEMO0001,54,947,119
B0DEMO0001,55,954,122
B0DEMO0001,56,982,125
B0DEMO0001,57,853,129
B0DEMO0001,58,753,135
B0DEMO0001,59,793,137
B0DEMO0001,60,877,141
B0DEMO0001,61,710,144
B0DEMO0001,62,785,149
B0DEMO0001,63,784,152
B0DEMO0001,64,735,155
B0DEMO0001,65,784,159
B0DEMO0001,66,761,163
B0DEMO0001,67,858,165
B0DEMO0001,68,735,169
B0DEMO0001,69,654,175
B0DEMO0001,70,645,179
B0DEMO0001,71,620,186
B0DEMO0001,72,702,190
B0DEMO0001,73,611,193
B0DEMO0001,74,624,200
B0DEMO0001,75,655,206
B0DEMO0001,76,572,213
B0DEMO0001,77,582,220
B0DEMO0001,78,505,227
B0DEMO0001,79,528,232
B0DEMO0001,80,541,237
B0DEMO0001,81,576,241
B0DEMO0001,82,603,246
B0DEMO0001,83,539,249
B0DEMO0001,84,542,254
B0DEMO0001,85,530,262
B0DEMO0001,86,562,266
B0DEMO0001,87,545,273
B0DEMO0001,88,511,279
B0DEMO0001,89,454,285
B0DEMO0001,90,522,293
B0DEMO0001,91,494,301
B0DEMO0001,92,522,307
B0DEMO0001,93,466,315
B0DEMO0001,94,539,319
B0DEMO0001,95,442,325
B0DEMO0001,96,511,333
B0DEMO0001,97,449,340
B0DEMO0001,98,422,347
B0DEMO0001,99,397,356
B0DEMO0001,100,425,361
B0DEMO0001,101,478,368
B0DEMO0001,102,451,374
B0DEMO0001,103,442,383
B0DEMO0001,104,343,389
B0DEMO0001,105,436,399
B0DEMO0001,106,427,403
B0DEMO0001,107,388,409
B0DEMO0001,108,383,418
B0DEMO0001,109,400,426
B0DEMO0001,110,457,431
B0DEMO0001,111,364,437
B0DEMO0001,112,381,447
B0DEMO0001,113,438,453
B0DEMO0001,114,378,461
B0DEMO0001,115,379,470
B0DEMO0001,116,393,477
B0DEMO0001,117,352,486
B0DEMO0001,118,396,494
B0DEMO0001,119,353,505
