rank,term,zoekterm,nl_index,momentum,tiktok_score,combined
1,kapper,kapper,94.6,1.0,93,94
2,krullen,krullen,14.0,0.89,94,53
3,kappers,kappers,20.3,0.95,79,49
4,krullenkapper,krullenkapper,2.7,2.5,87,47
5,hair,hair,220.5,0.94,0,47
6,krullendhaar,krullendhaar,0.0,,83,42
7,permanentkrullen,permanentkrullen,0.0,,74,37
8,hoofdhuid,hoofdhuid,7.0,0.9,65,36
9,stijltang,stijltang,4.6,0.95,65,35
10,gezondhaar,gezondhaar,0.0,,67,34
11,krultang,krultang,3.1,0.73,63,33
12,drooghaar,drooghaar,0.0,,63,32
13,krullentips,krullentips,0.0,0.0,62,31
14,krullenkwekerij,krullenkwekerij,0.0,,59,30
15,haarstijl,haarstijl,0.0,0.0,59,30
16,haarverf,haarverf,8.2,0.84,53,30
17,krullenkapperbelgië,krullenkapperbelgië,0.0,,57,28
18,rozemarijnolie,rozemarijnolie,0.0,,55,28
19,gladhaar,gladhaar,0.0,0.0,55,28
20,krullenkapperherentals,krullenkapperherentals,0.0,,55,28
21,krullentutorial,krullentutorial,0.0,,55,28
22,haarolie,haarolie,2.6,7.5,49,28
23,krullenkweken,krullenkweken,0.0,,54,27
24,krullenknippen,krullenknippen,0.0,,54,27
25,vlechtjes,vlechtjes,0.0,,53,26
26,haarkrullen,haarkrullen,0.0,,53,26
27,krullenspecialist,krullenspecialist,0.0,,52,26
28,hoofdhuidverzorging,hoofdhuidverzorging,0.0,0.0,51,26
29,haartip,haartip,0.0,,51,26
30,haargroeitips,haargroeitips,0.0,,50,25
31,krullenkapperutrecht,krullenkapperutrecht,0.0,,50,25
32,vethaar,vethaar,0.0,,50,25
33,haargroei,haargroei,2.6,1.88,45,25
34,haarverzorging,haarverzorging,0.0,,48,24
35,pluizighaar,pluizighaar,0.0,,48,24
36,haarvitamines,haarvitamines,0.0,,47,24
37,vlecht,vlecht,2.6,2.0,42,24
38,krullenkapperkempen,krullenkapperkempen,0.0,,46,23
39,haarmasker,haarmasker,2.6,1.07,44,23
40,kappertips,kappertips,0.0,,44,22
41,langhaar,langhaar,0.6,1.61,43,22
42,kappersopleiding,kappersopleiding,0.0,,43,22
43,haarproducten,haarproducten,1.1,12.86,40,22
44,zilvershampoo,zilvershampoo,2.5,3.48,37,22
45,krullendhaarroutine,krullendhaarroutine,0.0,,42,21
46,slapenmetkrullen,slapenmetkrullen,0.0,,42,21
47,haartransformatie,haartransformatie,0.0,,39,20
48,hairtok,hairtok,0.0,,39,20
49,haartutorial,haartutorial,0.0,,39,20
50,balayage,balayage,2.7,1.36,35,19
51,krullenroutine,krullenroutine,0.0,,36,18
52,kroeshaar,kroeshaar,0.0,,36,18
53,krullenmaken,krullenmaken,0.0,,34,17
54,kroeshaarkapper,kroeshaarkapper,0.0,,33,16
55,vethaartips,vethaartips,0.0,,32,16
56,curls,curls,11.9,1.15,0,7
57,olaplex,olaplex,8.3,1.37,0,6
58,extensions,extensions,16.6,0.76,0,6
59,hairmask,hair mask,7.4,1.64,0,6
60,hairoil,hair oil,9.8,1.04,0,5
61,keratine,keratine,2.6,3.33,0,4
62,blowout,blowout,2.5,2.14,0,3
63,hairgrowth,hair growth,6.8,0.76,0,3
64,bondrepair,bond repair,1.9,10.71,0,3
65,curlyhair,curly hair,5.7,0.85,0,2
66,tapeextensions,tape extensions,0.6,3.21,0,1
67,highlights,highlights,13.2,0.21,0,1
68,haircare,hair care,4.9,0.59,0,1
69,scalpcare,scalp care,0.6,3.21,0,1
70,hairloss,hair loss,6.5,0.34,0,1
71,haarextensions,haarextensions,0.0,,0,0
72,curlygirlmethode,curly girl methode,0.0,,0,0
73,heatlesscurls,heatless curls,0.0,0.0,0,0
74,slickback,slick back,0.0,0.0,0,0
75,slickbackbun,slick back bun,0.0,,0,0
76,wolfcut,wolf cut,0.4,2.14,0,0
77,haartrends,haartrends,0.0,,0,0
78,rosemaryoil,rosemaryoil,0.0,,0,0
79,hairtutorial,hair tutorial,0.0,0.0,0,0
80,hairhacks,hairhacks,0.0,,0,0
