rank,term,trend_score,nl_share,nl_plays,est_nl_views,nl_posts_per_dag_7d,nl_velocity_ratio,prior_sample,nl_engagement,global_views,global_videos,top_nl_cohashtags
1,krullen,94,0.575,19383567,582835440,2.57,11.02,7,0.049,1013023503,35495,#curlyhair #voorjou #krullenkweken #krullendhaar #krullenkapper #curlyhairroutine
2,krullenkapper,87,0.671,14189917,181756897,1.57,7.86,6,0.0387,270780684,17168,#krullen #curlyhair #voorjou #krullendhaar #curlyhairtutorial #krullentips
3,krullendhaar,83,0.476,19888525,117683462,1.43,5.36,8,0.0259,247305826,10322,#krullen #curlyhair #krullentips #krullendhaarroutine #krullenkweken #krullenkapper
4,gezondhaar,67,0.264,1820222,37153800,0.71,4.29,5,0.0495,140793348,4865,#healthyhair #hairgrowth #langhaar #hair #hairtips #haargroei
5,hoofdhuid,65,0.372,3905124,3963960,1.71,6.73,7,0.0356,10666658,806,#haargroei #scalpcare #hoofdhuidverzorging #hoofdhuidproblemen #gezondhaar #haarverzorging
6,stijltang,65,0.865,62031662,18199677,1.43,3.57,12,0.0721,21038159,1151,#hairtutorial #remington #hairstyling #hairtok #curls #haar
7,drooghaar,63,0.511,13401315,4329259,1.71,8.57,6,0.0228,8464671,589,#droogshampoo #hairtok #hair #vethaar #gezondhaar #hairtips
8,krullentips,62,0.739,34791800,95351369,0.57,3.43,5,0.0328,129004794,3478,#krullen #curlyhair #krullenkweken #krullendhaar #curlyhairtutorial #hairtok
9,kapper,58,0.403,8985944,464800712,1.86,,1,0.0544,1153987976,78848,#barber #barbershop #haircut #krullen #voorjou #fade
10,vlechtjes,53,0.586,4700250,6355417,1.0,3.75,8,0.0595,10841595,4091,#vlechten #braids #vlecht #hair #fy #hairtutorial
11,haarkrullen,53,0.596,17075487,8100631,1.0,3.75,8,0.0539,13597488,411,#krullen #curlyhair #krullendhaar #hairtok #curlyhairtutorial #curlyhairroutine
12,haarolie,49,0.385,10567225,11687147,0.71,4.29,5,0.0218,30345577,1380,#hairoil #hairtok #haircare #hairgrowth #hairoiling #gezondhaar
13,pluizighaar,48,0.584,5674471,11544151,0.71,4.29,5,0.0194,19758259,744,#hairtok #haartips #frizzyhair #krullen #gezondhaar #landot
14,kappers,44,0.266,26491274,19266459,1.57,,1,0.1661,72502731,6455,#kapper #barber #voorjou #suriname🇸🇷 #barbershop #surinametiktokers🇸🇷🇸🇷🇸🇷
15,hoofdhuidverzorging,44,0.524,27103931,754025,1.29,3.81,9,0.0046,1438449,525,#haircare #haarverzorging #scalpcare #hairtok #dandruff #mevsdandruff
16,vlecht,44,0.564,3933325,6610858,0.86,2.86,9,0.0506,11715446,1634,#vlechten #hair #braids #invlechten #braidinghair #haartutorial
17,permanentkrullen,39,0.293,5859422,88760395,0.57,,3,0.0378,302695709,682,#perm #krullen #permanent #curly #permanentkrullenjongens #spiraalpermanent
18,krullenkweken,39,0.919,28192196,133735216,0.14,,2,0.0637,145535383,2028,#krullen #krullendhaar #curlyhair #krullendhaarroutine #krullentips #voorjou
19,hairtok,39,0.007,234100,2211633255,0.0,,0,0.077,322898455310,9937413,#krullen #hairtutorials #hairinspo
20,haartutorial,39,0.027,415573,43560473,0.14,,0,0.0936,1600847387,18939,#haare #tutorial #hairtutorials #girly #bxycza #locken
21,krullenroutine,36,0.377,34358774,28543516,0.29,1.71,5,0.0306,75770062,1561,#krullen #krullenkweken #curlyhairroutine #curlyhair #curlyhairtutorial #hairtok
22,kroeshaar,36,0.716,2688224,28043291,0.29,0.95,9,0.0645,39193034,2671,#kroeshaarproducten #4chair #kroeshaarverzorging #krullendhaar #voorjou #krullen
23,krullenkapperutrecht,35,0.85,21645602,57144416,0.14,,2,0.0431,67228725,480,#krullenkapper #krullen #nenescurls #curlyhair #krullenkweken #curlyhairtutorial
24,balayage,35,0.007,55800,201522508,0.0,,0,0.0521,27407061201,2570445,#hairstylist #dmvhairstylist #virginiahairstylist #dchairstylist
25,kroeshaarkapper,33,0.826,5316004,245009,0.57,2.45,7,0.0485,296461,164,#kroeshaar #krullen #krullenkapper #voorjou #kapper #kroeshaarverzorging
26,haaruitval,31,0.538,6707937,49415850,0.43,,0,0.0057,91772294,4792,#hairloss #hairgrowth #hairtok #haargroei #hairlosstreatment #gezondhaar
27,hairhack,31,0.008,987500,263643151,0.0,,0,0.0311,34009966523,325568,#messybun #thinhair #hairupdo #hairstyle
28,krultang,28,0.536,4193843,13111021,1.14,,2,0.0367,24473907,980,#krullen #haartutorial #hairtok #hairtutorial #voorjou #tutorial
29,kroeshaartips,27,0.476,3603243,1413917,0.29,1.43,6,0.0684,2969227,197,#kroeshaar #krullendhaar #krullen #kroeshaarproducten #kroeshaarverzorging #krullentips
30,krullenbol,25,0.544,16764128,46302182,0.0,,1,0.0109,85095903,4041,#krullen #krullendhaar #curlyhair #krullentips #krullenkapper #curls
31,krullenkwekerij,24,0.824,18433969,6380295,0.57,,1,0.0723,7740030,50,#krullen #krullenkweken #krullendhaar #krullentips #krullendhaarroutine #krullenkapper
