
====================================================================================================
  MEEST TRENDING TERMS — sector: HAIR | land: Nederland (NL) | 2026-08-16 11:03 UTC
====================================================================================================
    # term                    score lok.share est. lok. views lok.posts/d  vs prior    eng
----------------------------------------------------------------------------------------------------
    1 #krullen                  94%      57%          582.8M        2.57    x11.02   4.9%
    2 #kapper                   93%      40%          464.8M        1.86    x55.71   5.4%
    3 #krullenkapper            87%      67%          181.8M        1.57     x7.86   3.9%
    4 #krullendhaar             83%      48%          117.7M        1.43     x5.36   2.6%
    5 #kappers                  79%      27%           19.3M        1.57    x47.14  16.6%
    6 #permanentkrullen         74%      29%           88.8M        0.57     x5.71   3.8%
    7 #gezondhaar               67%      26%           37.2M        0.71     x4.29   5.0%
    8 #hoofdhuid                65%      37%            4.0M        1.71     x8.57   3.6%
    9 #stijltang                65%      86%           18.2M        1.43     x3.57   7.2%
   10 #krultang                 63%      54%           13.1M        1.14    x17.14   3.7%
   11 #drooghaar                63%      51%            4.3M        1.71     x8.57   2.3%
   12 #krullentips              62%      74%           95.4M        0.57     x3.43   3.3%
   13 #krullenkwekerij          59%      82%            6.4M        0.57    x17.14   7.2%
   14 #haarstijl                59%      19%            8.0M        0.43    x12.86  18.2%
   15 #krullenkapperbelgië      57%      74%            2.9M        1.14    x17.14   3.3%
   16 #rozemarijnolie           55%      49%            2.9M        0.29     x8.57   8.6%
   17 #gladhaar                 55%      50%            232K        1.43    x10.71   1.3%
   18 #krullenkapperherentals    55%      81%            335K         1.0     x10.0   4.1%
   19 #krullentutorial          55%      52%            3.9M        0.71     x5.36   4.8%
   20 #krullenkweken            54%      92%          133.7M        0.14     x2.14   6.4%
   21 #krullenknippen           54%      74%           16.2M        0.43     x4.29   5.3%
   22 #vlechtjes                53%      59%            6.4M         1.0     x3.75   5.9%
   23 #haarverf                 53%      25%           16.3M        0.29     x4.29   5.8%
   24 #haarkrullen              53%      60%            8.1M         1.0     x3.75   5.4%
   25 #krullenspecialist        52%      37%           20.0M        0.29     x4.29   4.6%
   26 #hoofdhuidverzorging      51%      52%            754K        1.29     x4.82   0.5%
   27 #haartip                  51%      12%            1.1M        0.43     x6.43   5.6%
   28 #haargroeitips            50%      19%            6.1M        0.29     x4.29   7.0%
   29 #krullenkapperutrecht     50%      85%           57.1M        0.14     x2.14   4.3%
   30 #vethaar                  50%      30%            6.0M        0.29     x8.57   4.2%
   31 #haarolie                 49%      38%           11.7M        0.71     x4.29   2.2%
